observation_date,BSCICP03EZM665S
1985-01-01,99.65931
1985-02-01,99.39317
1985-03-01,99.23032
1985-04-01,99.22949
1985-05-01,99.30437
1985-06-01,99.35605
1985-07-01,99.40521
1985-08-01,99.50272
1985-09-01,99.64293
1985-10-01,99.74133
1985-11-01,99.75782
1985-12-01,99.67357
1986-01-01,99.58739
1986-02-01,99.55541
1986-03-01,99.54554
1986-04-01,99.54469
1986-05-01,99.56870
1986-06-01,99.58784
1986-07-01,99.59695
1986-08-01,99.57746
1986-09-01,99.50713
1986-10-01,99.43590
1986-11-01,99.42460
1986-12-01,99.40916
1987-01-01,99.32486
1987-02-01,99.27220
1987-03-01,99.33788
1987-04-01,99.44039
1987-05-01,99.54668
1987-06-01,99.64482
1987-07-01,99.78828
1987-08-01,99.99775
1987-09-01,100.17420
1987-10-01,100.24670
1987-11-01,100.24100
1987-12-01,100.22530
1988-01-01,100.27880
1988-02-01,100.39410
1988-03-01,100.53710
1988-04-01,100.71900
1988-05-01,100.92970
1988-06-01,101.14290
1988-07-01,101.31330
1988-08-01,101.50150
1988-09-01,101.72260
1988-10-01,101.90890
1988-11-01,101.97010
1988-12-01,101.96550
1989-01-01,101.94810
1989-02-01,101.93190
1989-03-01,101.89010
1989-04-01,101.88460
1989-05-01,101.93830
1989-06-01,101.98400
1989-07-01,101.96150
1989-08-01,101.88470
1989-09-01,101.80730
1989-10-01,101.78750
1989-11-01,101.79520
1989-12-01,101.75110
1990-01-01,101.66930
1990-02-01,101.56960
1990-03-01,101.50350
1990-04-01,101.40840
1990-05-01,101.28740
1990-06-01,101.19100
1990-07-01,101.11240
1990-08-01,101.02760
1990-09-01,100.93650
1990-10-01,100.75920
1990-11-01,100.50240
1990-12-01,100.11710
1991-01-01,99.58590
1991-02-01,99.13905
1991-03-01,98.88238
1991-04-01,98.79264
1991-05-01,98.76723
1991-06-01,98.75153
1991-07-01,98.72673
1991-08-01,98.68782
1991-09-01,98.61203
1991-10-01,98.57294
1991-11-01,98.53407
1991-12-01,98.48204
1992-01-01,98.46542
1992-02-01,98.43981
1992-03-01,98.35973
1992-04-01,98.24184
1992-05-01,98.11332
1992-06-01,97.90400
1992-07-01,97.57487
1992-08-01,97.15806
1992-09-01,96.65317
1992-10-01,96.12431
1992-11-01,95.69695
1992-12-01,95.42817
1993-01-01,95.30138
1993-02-01,95.28808
