observation_date,DEUPROINDMISMEI
1958-01-01,23.80216
1958-02-01,23.90221
1958-03-01,24.29053
1958-04-01,23.52717
1958-05-01,23.81468
1958-06-01,24.10568
1958-07-01,23.69374
1958-08-01,24.59775
1958-09-01,23.90009
1958-10-01,23.89166
1958-11-01,24.44781
1958-12-01,24.54702
1959-01-01,24.33066
1959-02-01,24.39656
1959-03-01,24.65619
1959-04-01,24.59815
1959-05-01,25.61408
1959-06-01,25.48321
1959-07-01,25.11666
1959-08-01,26.60287
1959-09-01,26.22966
1959-10-01,27.21662
1959-11-01,26.95390
1959-12-01,27.06555
1960-01-01,27.50897
1960-02-01,27.34925
1960-03-01,27.73731
1960-04-01,28.36171
1960-05-01,28.00785
1960-06-01,28.15410
1960-07-01,29.19126
1960-08-01,28.62957
1960-09-01,29.12148
1960-10-01,29.74496
1960-11-01,29.51247
1960-12-01,29.92662
1961-01-01,30.32841
1961-02-01,30.50789
1961-03-01,30.80043
1961-04-01,30.79017
1961-05-01,30.13836
1961-06-01,30.13999
1961-07-01,30.70228
1961-08-01,30.47017
1961-09-01,30.72169
1961-10-01,30.48497
1961-11-01,30.57376
1961-12-01,31.25683
1962-01-01,32.62008
1962-02-01,32.55783
1962-03-01,32.55783
1962-04-01,32.05981
1962-05-01,33.05584
1962-06-01,33.05584
1962-07-01,33.11810
1962-08-01,34.54990
1962-09-01,33.74062
1962-10-01,33.18035
1962-11-01,33.86512
1962-12-01,32.99359
1963-01-01,33.11810
1963-02-01,32.74458
1963-03-01,33.55386
1963-04-01,33.86512
1963-05-01,34.11413
1963-06-01,33.80287
1963-07-01,34.36314
1963-08-01,35.60818
1963-09-01,34.61215
1963-10-01,35.17242
1963-11-01,35.42142
1963-12-01,34.36314
1964-01-01,35.98169
1964-02-01,36.85322
1964-03-01,36.23070
1964-04-01,36.29295
1964-05-01,36.23070
1964-06-01,36.85322
1964-07-01,37.60025
1964-08-01,37.28899
1964-09-01,37.35124
1964-10-01,37.84925
1964-11-01,37.78700
1964-12-01,38.22277
1965-01-01,39.09430
1965-02-01,38.78304
1965-03-01,38.72078
1965-04-01,38.90754
1965-05-01,38.90754
1965-06-01,38.59628
1965-07-01,38.78304
1965-08-01,39.15655
1965-09-01,39.46781
1965-10-01,39.28105
1965-11-01,39.03204
1965-12-01,39.96582
1966-01-01,39.65456
1966-02-01,39.71682
1966-03-01,40.52609
1966-04-01,39.84132
1966-05-01,39.65456
1966-06-01,40.15258
1966-07-01,39.71682
1966-08-01,39.21880
1966-09-01,39.46781
1966-10-01,38.96979
1966-11-01,38.47178
1966-12-01,38.53403
1967-01-01,37.84925
1967-02-01,37.41349
1967-03-01,37.16448
1967-04-01,37.41349
1967-05-01,36.85322
1967-06-01,37.66250
1967-07-01,38.65853
1967-08-01,37.84925
1967-09-01,38.84529
1967-10-01,39.28105
1967-11-01,39.65456
1967-12-01,41.95789
1968-01-01,38.65853
1968-02-01,39.53006
1968-03-01,40.02808
1968-04-01,40.15258
1968-05-01,41.21087
1968-06-01,41.89564
1968-07-01,41.33537
1968-08-01,44.13671
1968-09-01,43.45194
1968-10-01,43.57644
1968-11-01,45.07049
1968-12-01,44.82148
1969-01-01,45.31950
1969-02-01,45.56851
1969-03-01,46.06652
1969-04-01,46.37778
1969-05-01,46.93805
1969-06-01,47.43607
1969-07-01,47.31157
1969-08-01,48.61886
1969-09-01,48.18310
1969-10-01,48.80562
1969-11-01,49.55264
1969-12-01,49.17913
1970-01-01,49.30363
1970-02-01,49.98841
1970-03-01,50.17516
1970-04-01,50.67318
1970-05-01,51.04669
1970-06-01,50.54868
1970-07-01,51.17120
1970-08-01,50.36192
1970-09-01,50.11291
1970-10-01,50.48642
1970-11-01,50.05066
1970-12-01,50.92219
1971-01-01,51.85597
1971-02-01,51.29570
1971-03-01,51.04669
1971-04-01,51.42020
1971-05-01,50.67318
1971-06-01,51.23345
1971-07-01,52.04272
1971-08-01,49.86390
1971-09-01,51.04669
1971-10-01,51.17120
1971-11-01,50.42417
1971-12-01,49.55264
1972-01-01,51.48246
1972-02-01,51.85597
1972-03-01,52.41624
1972-04-01,52.41624
1972-05-01,52.10498
1972-06-01,52.41624
1972-07-01,52.66525
1972-08-01,52.41624
1972-09-01,52.47849
1972-10-01,53.16326
1972-11-01,54.09704
1972-12-01,54.78181
1973-01-01,55.27983
1973-02-01,55.77785
1973-03-01,56.15136
1973-04-01,55.84010
1973-05-01,56.21361
1973-06-01,55.84010
1973-07-01,53.84803
1973-08-01,56.83613
1973-09-01,56.58712
1973-10-01,56.21361
1973-11-01,56.52487
1973-12-01,55.96460
1974-01-01,56.15136
1974-02-01,55.96460
1974-03-01,55.65334
1974-04-01,55.77785
1974-05-01,56.40037
1974-06-01,55.71560
1974-07-01,55.65334
1974-08-01,54.28380
1974-09-01,54.40830
1974-10-01,54.22155
1974-11-01,53.84803
1974-12-01,51.17120
1975-01-01,51.48246
1975-02-01,51.23345
1975-03-01,51.79372
1975-04-01,51.10894
1975-05-01,50.92219
1975-06-01,50.79768
1975-07-01,49.55264
1975-08-01,51.48246
1975-09-01,51.42020
1975-10-01,52.41624
1975-11-01,53.16326
1975-12-01,53.10101
1976-01-01,53.78578
1976-02-01,54.84407
1976-03-01,54.78181
1976-04-01,55.09307
1976-05-01,55.40434
1976-06-01,56.02686
1976-07-01,53.97254
1976-08-01,55.71560
1976-09-01,56.27586
1976-10-01,56.27586
1976-11-01,56.33812
1976-12-01,56.40037
1977-01-01,56.71163
1977-02-01,56.52487
1977-03-01,57.14739
1977-04-01,56.52487
1977-05-01,56.02686
1977-06-01,57.02289
1977-07-01,54.59506
1977-08-01,56.96064
1977-09-01,57.08514
1977-10-01,56.83613
1977-11-01,56.89838
1977-12-01,58.01892
1978-01-01,58.20568
1978-02-01,56.52487
1978-03-01,55.34208
1978-04-01,56.46262
1978-05-01,56.40037
1978-06-01,56.08911
1978-07-01,57.58316
1978-08-01,58.14342
1978-09-01,59.07721
1978-10-01,58.08117
1978-11-01,58.51694
1978-12-01,60.38450
1979-01-01,58.76595
1979-02-01,58.57919
1979-03-01,58.82820
1979-04-01,60.19774
1979-05-01,60.07324
1979-06-01,61.25603
1979-07-01,61.56729
1979-08-01,60.69576
1979-09-01,60.82026
1979-10-01,60.13549
1979-11-01,61.69180
1979-12-01,62.62558
1980-01-01,62.25206
1980-02-01,62.18981
1980-03-01,61.62954
1980-04-01,61.00702
1980-05-01,60.94477
1980-06-01,60.38450
1980-07-01,60.69576
1980-08-01,60.82026
1980-09-01,58.70369
1980-10-01,59.01495
1980-11-01,60.01099
1980-12-01,59.13946
1981-01-01,58.89045
1981-02-01,60.01099
1981-03-01,59.76198
1981-04-01,59.20171
1981-05-01,59.57522
1981-06-01,58.89045
1981-07-01,59.38847
1981-08-01,59.45072
1981-09-01,59.63747
1981-10-01,59.94873
1981-11-01,59.45072
1981-12-01,58.95270
1982-01-01,59.20171
1982-02-01,58.76595
1982-03-01,59.32621
1982-04-01,59.20171
1982-05-01,59.20171
1982-06-01,57.76991
1982-07-01,55.84010
1982-08-01,57.02289
1982-09-01,56.77388
1982-10-01,56.15136
1982-11-01,55.46659
1982-12-01,55.71560
1983-01-01,56.58712
1983-02-01,56.08911
1983-03-01,57.08514
1983-04-01,57.64541
1983-05-01,57.27190
1983-06-01,59.20171
1983-07-01,56.52487
1983-08-01,57.08514
1983-09-01,58.57919
1983-10-01,58.39243
1983-11-01,59.13946
1983-12-01,60.32225
1984-01-01,59.57522
1984-02-01,60.13549
1984-03-01,59.20171
1984-04-01,58.76595
1984-05-01,59.20171
1984-06-01,53.59903
1984-07-01,60.19774
1984-08-01,59.57522
1984-09-01,60.82026
1984-10-01,60.57125
1984-11-01,61.06927
1984-12-01,61.44279
1985-01-01,61.44279
1985-02-01,61.50504
1985-03-01,62.06531
1985-04-01,61.38054
1985-05-01,62.12756
1985-06-01,62.87458
1985-07-01,63.49710
1985-08-01,61.87855
1985-09-01,62.62558
1985-10-01,63.37260
1985-11-01,64.55539
1985-12-01,62.12756
1986-01-01,63.37260
1986-02-01,63.62161
1986-03-01,63.74611
1986-04-01,64.05737
1986-05-01,63.43485
1986-06-01,63.74611
1986-07-01,64.67989
1986-08-01,63.55936
1986-09-01,63.18584
1986-10-01,63.37260
1986-11-01,64.05737
1986-12-01,63.24810
1987-01-01,62.25206
1987-02-01,63.49710
1987-03-01,63.12359
